Year,Acadia,Badlands,Sequoia,Yellowstone
2008,2075857,845734,930011,3066580
2009,2227698,933918,965170,3295187
2010,2504208,977778,1002979,3640185
2011,2374645,870741,1006583,3394326
2012,2431052,883406,1106584,3447729
2013,2254922,892372,909274,3188030
2014,2563129,868094,1039137,3513484
2015,2811184,989354,1097464,4097710
2016,3303393,996263,1254688,4257177
2017,3509271,1054325,1291256,4116524
